region,sigungu,category,item_name,application_status,valid_application_count,application_numbers,trademark_names,lgst_values
강원특별자치도,강릉시,유형유산,강릉 오죽헌ㆍ박물관 소장 임영족회첩,유효출원,9,4020010003943|4020010003944|4020010003945|4020010003946|4020180049615|4020190053725|4020210039840|4120010014971|4120150024196,강릉선교장 전통가구박물관 한국 전통가구박물관|권오복 조각박물관|오죽헌소갈비찜|오죽헌오죽|참소리 축음기 에디슨 박물관|코쟁이박물관,등록
강원특별자치도,강릉시,유형유산,대관령 옛길,유효출원,14,4020010003935|4020010003936|4020010003937|4020010003938|4020070045736|4020070045778|4020160114972|4020210187985|4020220012866|4020250183803|4020250183804|4020250184225|4020250243878|4120080003497,강릉대관령|눈 내리는 대관령|대관령 바람과 햇살과눈 그리고 황태 명태선생 선생|대관령미인|대관령삼계라떼|대관령솔찬도시락|대관령아흔아홉구비|대관령어울림|대관령오죽|하늬바람이 키운 대관령 커피,등록|출원
강원특별자치도,강릉시,유형유산,명주 청학동 소금강,유효출원,9,4020190055433|4020190055434|4020200206921|4020200232524|4020200232530|4020200232533|4020200232534|4020200232539|4020200232545,명주 인형극제|소금강 댕댕이한약방|소금강에서 띄우는 들꽃편지,등록
강원특별자치도,강릉시,유형유산,"율곡유품(벼루,토지양여서)",유효출원,1,4020030025590,율곡벼루지갑,등록
강원특별자치도,강릉시,유형유산,이이 수고본 격몽요결,유효출원,2,4020030025589|4020150083148,격몽요결차|율곡친필격몽요결,등록
강원특별자치도,강릉시,유형유산,초충도 화첩,유효출원,2,4020030025587|4020030025588,사임당초충도,등록
강원특별자치도,강릉시,무형유산,강릉 갈골과줄,미출원,0,,,
강원특별자치도,강릉시,무형유산,강릉농악,미출원,0,,,
강원특별자치도,강릉시,무형유산,강릉사천하평답교놀이,미출원,0,,,
강원특별자치도,강릉시,무형유산,강릉전통자수장,미출원,0,,,
강원특별자치도,강릉시,무형유산,강릉학산오독떼기,미출원,0,,,
강원특별자치도,강릉시,무형유산,방짜수저장,미출원,0,,,
강원특별자치도,강릉시,무형유산,불교목조각장,미출원,0,,,
강원특별자치도,강릉시,무형유산,강릉단오제,유효출원,18,4020000008978|4020080026967|4020080026968|4020080026969|4020080026970|4020080026973|4020080026974|4020080026977|4020080026978|4020080026979|4020080026981|4020080026986|4120080014854|4120080014855|4120080014858|4220100000205|4520060003472|4520060003604,강릉 단오제|단오제|단오제닷컴|천년의어울림 강릉단오제,등록
강원특별자치도,강릉시,자연유산,강릉동대굴,미출원,0,,,
강원특별자치도,강릉시,자연유산,강릉비선굴,미출원,0,,,
강원특별자치도,강릉시,자연유산,강릉서대굴,미출원,0,,,
강원특별자치도,강릉시,자연유산,강릉옥계굴,미출원,0,,,
강원특별자치도,강릉시,자연유산,강릉옥천동은행나무,미출원,0,,,
강원특별자치도,강릉시,자연유산,운산리은행나무,미출원,0,,,
강원특별자치도,강릉시,문화축제,2026 해돋이 행사,미출원,0,,,
강원특별자치도,강릉시,문화축제,제5회 강릉 비치비어페스티벌,미출원,0,,,
강원특별자치도,강릉시,문화축제,2025 경포 벚꽃 잔치,유효출원,6,4020010000000|4020150000000|4020190000000|4020220000000|4120140000000|4120150000000,강릉커피 경포오달빵|경포 가시연꽃마을|경포(경포)오죽|경포바다펜션|경포에 뜬 달|경포의 달,등록
강원특별자치도,강릉시,문화축제,2025 경포 썸머 페스티벌,유효출원,6,4020010000000|4020150000000|4020190000000|4020220000000|4120140000000|4120150000000,강릉커피 경포오달빵|경포 가시연꽃마을|경포(경포)오죽|경포바다펜션|경포에 뜬 달|경포의 달,등록
강원특별자치도,강릉시,문화축제,강릉단오제 본행사,유효출원,5,4020000000000|4020080000000|4120080000000|4220100000000|4520060000000,강릉 단오제|단오제|단오제닷컴|천년의어울림 강릉단오제,등록
강원특별자치도,강릉시,문화축제,강릉문화재야행,유효출원,1,4020180000000,강릉문화재야행,등록
강원특별자치도,강릉시,문화축제,강릉커피축제,유효출원,19,4020120000000|4020150000000|4020160000000|4020170000000|4020180000000|4020190000000|4020200000000|4020210000000|4020220000000|4020230000000|4020240000000|4020250000000|4120110000000|4120120000000|4120140000000|4120150000000|4120160000000|4220120000000|4220210000000,"감옹커피|강릉두부 커피콩빵|강릉명물 강릉 커피콩빵|강릉발효커피|강릉아라&몰라 커피찹쌀모찌떡|강릉커피 경포오달빵|강릉커피누|강릉커피빵|강릉커피선식|강릉커피잼|강릉커피젤리|강릉커피축제|강릉커피콩빵 가배만쥬|갤러리 밥스 초당옥수수커피|남경 커피 커피향으로 시작해서 메밀향으로 끝나다 임수호|동애커피과자|로이븐커피|마더 감자옹심이 커피|마더 감자크림커피|박이추 커피공장|빨간우체통 2달러 커피|뽀드득커피설거지비누|성산커피|송화커피|시간이 멈추어 커피가 되다|시간이 멈추어 커피가 되다 kaffe KIWA|아라&몰라 커피 모찌떡 라떼|어몽커피|에이엠브레드앤커피|영혁강릉커피순대|예스커피|원조 맛짱 커피 강정|이놈애커피|초옥이 커피|커피기정|커피도시강릉|커피세리머니|커피은행|커피코나|커피퐁|커피한과|커피향 가득한 커피닭강정 가|테라로사 커피|프리미엄 수제 강릉 커피밥 식혜|프리미엄 수제 강릉커피식혜|피부로 마시는 커피|하늬바람이 키운 대관령 커피|해풍 담은 강릉커피, 바다빈|휴빈커피",공고|등록|출원
강원특별자치도,강릉시,문화축제,제17회 강릉 커피축제,유효출원,19,4020120000000|4020150000000|4020160000000|4020170000000|4020180000000|4020190000000|4020200000000|4020210000000|4020220000000|4020230000000|4020240000000|4020250000000|4120110000000|4120120000000|4120140000000|4120150000000|4120160000000|4220120000000|4220210000000,"감옹커피|강릉두부 커피콩빵|강릉명물 강릉 커피콩빵|강릉발효커피|강릉아라&몰라 커피찹쌀모찌떡|강릉커피 경포오달빵|강릉커피누|강릉커피빵|강릉커피선식|강릉커피잼|강릉커피젤리|강릉커피축제|강릉커피콩빵 가배만쥬|갤러리 밥스 초당옥수수커피|남경 커피 커피향으로 시작해서 메밀향으로 끝나다 임수호|동애커피과자|로이븐커피|마더 감자옹심이 커피|마더 감자크림커피|박이추 커피공장|빨간우체통 2달러 커피|뽀드득커피설거지비누|성산커피|송화커피|시간이 멈추어 커피가 되다|시간이 멈추어 커피가 되다 kaffe KIWA|아라&몰라 커피 모찌떡 라떼|어몽커피|에이엠브레드앤커피|영혁강릉커피순대|예스커피|원조 맛짱 커피 강정|이놈애커피|초옥이 커피|커피기정|커피도시강릉|커피세리머니|커피은행|커피코나|커피퐁|커피한과|커피향 가득한 커피닭강정 가|테라로사 커피|프리미엄 수제 강릉 커피밥 식혜|프리미엄 수제 강릉커피식혜|피부로 마시는 커피|하늬바람이 키운 대관령 커피|해풍 담은 강릉커피, 바다빈|휴빈커피",공고|등록|출원
강원특별자치도,고성군,특산품,강원서각,미출원,0,,,
강원특별자치도,고성군,특산품,고성가시오가피엑기스,미출원,0,,,
강원특별자치도,고성군,특산품,붉은대게(홍게),미출원,0,,,
강원특별자치도,고성군,특산품,산문어,미출원,0,,,
강원특별자치도,고성군,특산품,삼백초,미출원,0,,,
강원특별자치도,고성군,특산품,성게알젓갈,미출원,0,,,
강원특별자치도,고성군,특산품,어성초,미출원,0,,,
강원특별자치도,고성군,특산품,조미김,미출원,0,,,
강원특별자치도,고성군,특산품,진부령곤달비,미출원,0,,,
강원특별자치도,고성군,특산품,황차,미출원,0,,,
강원특별자치도,고성군,특산품,황토비누,미출원,0,,,
강원특별자치도,고성군,특산품,가리비(광성),유효출원,1,4020150059987,백도가리비,등록
강원특별자치도,고성군,특산품,감자떡,유효출원,10,4020040023655|4020050012428|4020070000566|4020070001485|4020170061284|4020180022996|4020200003980|7020170000817|7020170000818|7020170000819,"건강한농부|고성 본 마크는 강원도 고성군 우수농수산물의 공동브랜드입니다. 금강산이 있는 고성|고성해양심층수|금강누리|바닷가 농부들|우리맛, 고성명품 건봉|우리맛, 고성명품 건봉 해양심층수장",등록
강원특별자치도,고성군,특산품,강원고성명태,유효출원,25,4020050012428|4020060032205|4020060032206|4020100044804|4020120023112|4020120023113|4020120023114|4020120023115|4020120023116|4020120023117|4020150058033|4020150095539|4020170061365|4020170156647|4020190102051|4020190190465|4020200018851|4020200085014|4020210122360|4020210165228|4420110000025|4520010000676|7020170000817|7020170000818|7020170000819,"강원고성명태|건강한 어부|고성 명태는 행운이다!|고성태|고성태 청정지역고성에서 해양심층수와 바닷바람으로 말린 ""북어""|고성통일명태|고성해양심층수|맛태자|명태뽕|미스코다리|비상고명|살아있는 손맛 오성|알창|어부찬|오성식품|태서방|통태|통태 간편명태 순살|해심|행운의 고성태",등록
강원특별자치도,고성군,특산품,강원고성칡소,유효출원,11,4020010036632|4020050012428|4020210043813|4020210248083|4020230000367|4020230116050|4020230116052|4420230000005|7020170000817|7020170000818|7020170000819,"강원 고성칡소|고성해양심층수|치아, 구강엔 치탄 구탄|치커리|타이거 비프|타이거 카우|파파스튜",등록
강원특별자치도,고성군,특산품,강원고성해양심층수꾸지뽕진액,유효출원,17,4020050012428|4020140037803|4020200157305|4020200157306|4020210010750|4020210010751|4020210043813|4020210162464|4020210162469|4020210162471|4020210247354|4020210247355|4020210247356|4020210247357|7020170000817|7020170000818|7020170000819,"고성해양심층수|꾸벵이|당백수|당쾌관|당프로|보호수|셀비움|숨폐|치아, 구강엔 치탄 구탄",등록
